what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605340907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605343762
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327605358791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327605364348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605368283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605369862
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605369903
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605371092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605374443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605375712
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605377992
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327605383911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327605385925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605388864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605391126
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605391561
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605392692
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605396083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605399721
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605402793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605404339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605405695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605419023
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605422001
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605423769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605439247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605453988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605455787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605462965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605465015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605476151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605479933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605489590
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605493685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605494867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605499276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605500752
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605509222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605544531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605548209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605578841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605583059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605814033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605816349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605832284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605833547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605840233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605840853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605909452
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327605914875
error,log,,,"Terminate failed",1327605927343
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327605933232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327605936079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606024669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606025971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606030427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606030889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606032247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606034390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606446802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606451534
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327606453913
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1327606457043
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1327606457043
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1327606457043
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1327606457043
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1327606457043
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1327606457043
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1327606457043
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1327606457043
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1327606457043
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1327606457075
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1327606457075
stopped,bundle,com.springsource.sts.config.ui,2.6.0.201103161000-RELEASE,"com.springsource.sts.config.ui",1327606457075
stopped,bundle,com.springsource.sts.ide.help,2.6.0.201103161000-RELEASE,"com.springsource.sts.ide.help",1327606457075
stopped,bundle,com.springsource.sts.roo.ui,2.6.0.201103161000-RELEASE,"com.springsource.sts.roo.ui",1327606457076
stopped,bundle,com.springsource.sts.maven,2.6.0.201103161000-RELEASE,"com.springsource.sts.maven",1327606457076
stopped,bundle,com.springsource.sts.roo.core,2.6.0.201103161000-RELEASE,"com.springsource.sts.roo.core",1327606457077
stopped,bundle,com.springsource.sts.server.insight.ui,2.6.0.201103161000-RELEASE,"com.springsource.sts.server.insight.ui",1327606457135
