what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601386980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601387959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601388117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327601388307
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327601389265
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327601391040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601393801
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327601424348
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327601427519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601430506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327601436555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601442217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601447225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601494110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601505736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601520602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601523079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601564670
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327601566443
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327601571434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601574317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601575360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601579031
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327601581378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601592464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601593575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601596582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601597715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601600960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601603103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601612295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601618426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601633316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601640602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601642496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327601647759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601648796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601649301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601658031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601660001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601663711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601669671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601671319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601676669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601678151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601681174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601684043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327601689481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601698566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601700083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601706440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1327601712713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327601717137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601722318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601726126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601728555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601743020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601748299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601750577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601751587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601796845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601801875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601813294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1327601820571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1327601820571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601820592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601821781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601828220
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327601833260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601835685
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327601837334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601843762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601945367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601947830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601950489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327601960621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601969176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601983944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327601989975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327601991402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602004646
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327602005925
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327602009282
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327602009465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602013736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602019179
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327602026061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1327602027638
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327602032222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327602033092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327602034611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602034909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602039455
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327602042229
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327602043774
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327602046439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327602049499
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327602061104
