what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1327598340915
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1327598340916
started,bundle,com.springsource.sts.frameworks.ui,2.6.0.201103161000-RELEASE,"com.springsource.sts.frameworks.ui",1327598341198
started,bundle,com.springsource.sts.frameworks.core,2.6.0.201103161000-RELEASE,"com.springsource.sts.frameworks.core",1327598341241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598347414
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1327598355761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598355775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598364125
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1327598372056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598372070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598372129
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1327598372386
started,bundle,org.datanucleus.ide.eclipse,3.0.1,"org.datanucleus.ide.eclipse",1327598373362
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1327598374574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598388238
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327598388250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598394688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598408652
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327598425691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327598436458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327598456186
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598461785
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1327598470032
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327598470143
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327598470410
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598470436
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327598476891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327598480460
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598482343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598488693
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1327598493365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598493394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598499261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598507556
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327598509722
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327598511354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327598513917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327598517507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598520291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598524187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598526523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598575958
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598580218
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327598582245
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327598583254
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598583272
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327598586992
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1327598595101
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1327598595103
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327598595322
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.2.v201103270854,"org.eclipse.jst.ws.jaxws.ui",1327598595443
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327598595503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327598597300
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1327598597508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327598604775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598619715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598643565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327598646658
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1327598652539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327598659464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327598661975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327598664379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598673851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598678161
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598684873
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1327598684949
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327598685047
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327598685071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598693058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598786684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327598787561
