what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476354576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476432861
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327476448839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327476452755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476503102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476573974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327476586863
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327476595760
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327476607640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476612381
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327476614765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327476615021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476615076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476617195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476652081
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1327476656444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476666490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476710939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476722053
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327476739522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476743373
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327476749468
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1327476749836
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1327476750122
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327476750141
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476752270
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476752329
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327476752358
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476758879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327476769794
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476770933
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476774125
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1327476788027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476790833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476793571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476797908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476799611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476806087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476806100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476806550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476808704
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476808737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327476811362
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1327476812520
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476814714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327476818524
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327476820602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476822849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476839400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476844965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476869559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327476873166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327481086987
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1327481094467
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.DevModeView",1327481097331
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1327481106008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327481106766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327481114135
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327481114348
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1327481122543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1327481123886
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1327481126808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327481131149
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327481133191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327481175274
